experiment_id,repeat,model_algorithm,max_channels,selected_channels,channel_names,balance_method,add_time_features,add_stft_features,total_features_per_channel,total_features,core_chaos_features,time_domain_features,stft_features,n_train_samples,n_eval_samples,training_time_sec,roc_auc,accuracy,precision,sensitivity,specificity,f1_score,f_beta_score,fpr,true_positives,true_negatives,false_positives,false_negatives,train_class_imbalance_before,train_class_imbalance_after,performance_rank,feature_categories_used
EXP_011,0,Logistic Regression,4,"[0, 1, 2, 3]","[Fp1, Fp2, F3, F4]",none,True,True,21,84,"ch0_sampen,ch0_perm_ent,ch0_svd_ent,ch0_higuchi_fd,ch0_petrosian_fd,ch0_dfa,ch0_hurst,ch0_bp_delta,ch0_bp_theta,ch0_bp_alpha,ch0_bp_beta","ch0_mean,ch0_std,ch0_skew,ch0_kurt,ch0_ptp,ch0_rms","ch0_stft_bp_delta,ch0_stft_bp_theta,ch0_stft_bp_alpha,ch0_stft_bp_beta",80,80,0.027,0.434,0.475,0.235,0.333,0.536,0.276,0.308,0.464,8,30,26,16,"56:24 (2.33:1)","56:24 (2.33:1)",Poor,"Chaos + Time + STFT"
EXP_012,0,SVM (RBF),4,"[0, 1, 2, 3]","[Fp1, Fp2, F3, F4]",none,True,True,21,84,"ch0_sampen,ch0_perm_ent,ch0_svd_ent,ch0_higuchi_fd,ch0_petrosian_fd,ch0_dfa,ch0_hurst,ch0_bp_delta,ch0_bp_theta,ch0_bp_alpha,ch0_bp_beta","ch0_mean,ch0_std,ch0_skew,ch0_kurt,ch0_ptp,ch0_rms","ch0_stft_bp_delta,ch0_stft_bp_theta,ch0_stft_bp_alpha,ch0_stft_bp_beta",80,80,0.024,0.570,0.700,0.500,0.208,0.911,0.294,0.236,0.089,5,51,5,19,"56:24 (2.33:1)","56:24 (2.33:1)",Moderate,"Chaos + Time + STFT"
EXP_013,0,Random Forest,4,"[0, 1, 2, 3]","[Fp1, Fp2, F3, F4]",none,True,True,21,84,"ch0_sampen,ch0_perm_ent,ch0_svd_ent,ch0_higuchi_fd,ch0_petrosian_fd,ch0_dfa,ch0_hurst,ch0_bp_delta,ch0_bp_theta,ch0_bp_alpha,ch0_bp_beta","ch0_mean,ch0_std,ch0_skew,ch0_kurt,ch0_ptp,ch0_rms","ch0_stft_bp_delta,ch0_stft_bp_theta,ch0_stft_bp_alpha,ch0_stft_bp_beta",80,80,0.656,0.573,0.675,0.250,0.042,0.946,0.071,0.050,0.054,1,53,3,23,"56:24 (2.33:1)","56:24 (2.33:1)",Moderate,"Chaos + Time + STFT"
EXP_014,0,Gradient Boosting,4,"[0, 1, 2, 3]","[Fp1, Fp2, F3, F4]",none,True,True,21,84,"ch0_sampen,ch0_perm_ent,ch0_svd_ent,ch0_higuchi_fd,ch0_petrosian_fd,ch0_dfa,ch0_hurst,ch0_bp_delta,ch0_bp_theta,ch0_bp_alpha,ch0_bp_beta","ch0_mean,ch0_std,ch0_skew,ch0_kurt,ch0_ptp,ch0_rms","ch0_stft_bp_delta,ch0_stft_bp_theta,ch0_stft_bp_alpha,ch0_stft_bp_beta",80,80,0.366,0.498,0.613,0.370,0.417,0.696,0.392,0.407,0.304,10,39,17,14,"56:24 (2.33:1)","56:24 (2.33:1)",Poor,"Chaos + Time + STFT"
EXP_015,0,K-Nearest Neighbors,4,"[0, 1, 2, 3]","[Fp1, Fp2, F3, F4]",none,True,True,21,84,"ch0_sampen,ch0_perm_ent,ch0_svd_ent,ch0_higuchi_fd,ch0_petrosian_fd,ch0_dfa,ch0_hurst,ch0_bp_delta,ch0_bp_theta,ch0_bp_alpha,ch0_bp_beta","ch0_mean,ch0_std,ch0_skew,ch0_kurt,ch0_ptp,ch0_rms","ch0_stft_bp_delta,ch0_stft_bp_theta,ch0_stft_bp_alpha,ch0_stft_bp_beta",80,80,0.019,0.479,0.663,0.385,0.208,0.857,0.270,0.229,0.143,5,48,8,19,"56:24 (2.33:1)","56:24 (2.33:1)",Poor,"Chaos + Time + STFT"
EXP_016,0,Logistic Regression,4,"[0, 1, 2, 3]","[Fp1, Fp2, F3, F4]",oversample,True,True,21,84,"ch0_sampen,ch0_perm_ent,ch0_svd_ent,ch0_higuchi_fd,ch0_petrosian_fd,ch0_dfa,ch0_hurst,ch0_bp_delta,ch0_bp_theta,ch0_bp_alpha,ch0_bp_beta","ch0_mean,ch0_std,ch0_skew,ch0_kurt,ch0_ptp,ch0_rms","ch0_stft_bp_delta,ch0_stft_bp_theta,ch0_stft_bp_alpha,ch0_stft_bp_beta",112,80,0.024,0.487,0.488,0.270,0.417,0.518,0.328,0.376,0.482,10,29,27,14,"56:24 (2.33:1)","56:56 (1:1)",Poor,"Chaos + Time + STFT"
EXP_017,0,SVM (RBF),4,"[0, 1, 2, 3]","[Fp1, Fp2, F3, F4]",oversample,True,True,21,84,"ch0_sampen,ch0_perm_ent,ch0_svd_ent,ch0_higuchi_fd,ch0_petrosian_fd,ch0_dfa,ch0_hurst,ch0_bp_delta,ch0_bp_theta,ch0_bp_alpha,ch0_bp_beta","ch0_mean,ch0_std,ch0_skew,ch0_kurt,ch0_ptp,ch0_rms","ch0_stft_bp_delta,ch0_stft_bp_theta,ch0_stft_bp_alpha,ch0_stft_bp_beta",112,80,0.026,0.631,0.638,0.381,0.333,0.768,0.356,0.342,0.232,8,43,13,16,"56:24 (2.33:1)","56:56 (1:1)",Good,"Chaos + Time + STFT"
EXP_018,0,Random Forest,4,"[0, 1, 2, 3]","[Fp1, Fp2, F3, F4]",oversample,True,True,21,84,"ch0_sampen,ch0_perm_ent,ch0_svd_ent,ch0_higuchi_fd,ch0_petrosian_fd,ch0_dfa,ch0_hurst,ch0_bp_delta,ch0_bp_theta,ch0_bp_alpha,ch0_bp_beta","ch0_mean,ch0_std,ch0_skew,ch0_kurt,ch0_ptp,ch0_rms","ch0_stft_bp_delta,ch0_stft_bp_theta,ch0_stft_bp_alpha,ch0_stft_bp_beta",112,80,0.623,0.507,0.613,0.316,0.250,0.768,0.279,0.261,0.232,6,43,13,18,"56:24 (2.33:1)","56:56 (1:1)",Poor,"Chaos + Time + STFT"
EXP_019,0,Gradient Boosting,4,"[0, 1, 2, 3]","[Fp1, Fp2, F3, F4]",oversample,True,True,21,84,"ch0_sampen,ch0_perm_ent,ch0_svd_ent,ch0_higuchi_fd,ch0_petrosian_fd,ch0_dfa,ch0_hurst,ch0_bp_delta,ch0_bp_theta,ch0_bp_alpha,ch0_bp_beta","ch0_mean,ch0_std,ch0_skew,ch0_kurt,ch0_ptp,ch0_rms","ch0_stft_bp_delta,ch0_stft_bp_theta,ch0_stft_bp_alpha,ch0_stft_bp_beta",112,80,0.502,0.478,0.600,0.167,0.083,0.821,0.111,0.093,0.179,2,46,10,22,"56:24 (2.33:1)","56:56 (1:1)",Poor,"Chaos + Time + STFT"
EXP_020,0,K-Nearest Neighbors,4,"[0, 1, 2, 3]","[Fp1, Fp2, F3, F4]",oversample,True,True,21,84,"ch0_sampen,ch0_perm_ent,ch0_svd_ent,ch0_higuchi_fd,ch0_petrosian_fd,ch0_dfa,ch0_hurst,ch0_bp_delta,ch0_bp_theta,ch0_bp_alpha,ch0_bp_beta","ch0_mean,ch0_std,ch0_skew,ch0_kurt,ch0_ptp,ch0_rms","ch0_stft_bp_delta,ch0_stft_bp_theta,ch0_stft_bp_alpha,ch0_stft_bp_beta",112,80,0.028,0.522,0.575,0.344,0.458,0.625,0.393,0.430,0.375,11,35,21,13,"56:24 (2.33:1)","56:56 (1:1)",Moderate,"Chaos + Time + STFT"
